open_gate_id,native_item_id,category,title,status,severity_priority,owner,evidence_required,next_action,authority_source,active_count,close_authority,notes
OPEN-DOC-006,,OPEN-DOC,Institutional film identity-gate v1.4 status and scale contradiction,OPEN — HISTORICAL/PRE-PRODUCTION SCOPE,HIGH,Brand / Founder,Controlled decision resolving DRAFT/NOT IN FORCE versus FROZEN/current-authority wording and 1000×700 versus 1100×750 visual targets if film work resumes.,Preserve all source assets; treat every dimension as historical visual guidance only; do not use as Product V1 or manufacturing geometry.,BRD-FILM-002 gate_pack_v1.4; COR-006 EX-003; current controlled Product state,YES,Founder / Brand controlled decision,No current engineering gate is affected; Product V1 footprint remains NOT FROZEN.
MOKO-CURRENT-RELEASE,,RELEASE-CONTROL,MOKO current-release exact-package reconciliation,CLOSED FOR EXACT-PACKAGE INGESTION — CURRENT CANDIDATE IDENTIFIED — NOT RELEASED,CLOSED FOR INGESTION,Founder — EMOPET / Document Control,SATISFIED FOR INGESTION AND LOCAL CUSTODY — exact r1.6 ZIP SHA-256 ca08ef8f81154a17cf1862884c19df6ff5d3a9a68163aded0fb587365794066c; ZIP PASS; 46/46 manifest; 47/47 SHA256SUMS.,"Preserve r1.6 byte-identically. Do not transmit, rebuild, replace or promote it without a separate controlled release action.",WORK-DELTA-MOKO-001; MOKO-RECON-016,NO,Founder — EMOPET / WORK-DELTA-MOKO-001,"Exact r1.6 archive is now materialized under controlled local custody and independently verified on 2026-08-29. Status remains PREPARED_NOT_SENT / NOT RELEASED; no transmission, manufacturing or final typography publication is inferred."
OPEN-PUB-001,,OPEN-DOC,MOKO r1.6 final controlled-typography publication,OPEN / PASS_WITH_NOTES — CURRENT PDFs ARE QA / PARTNER-REVIEW CANDIDATE EVIDENCE ONLY,HIGH — FINAL PUBLICATION,Founder — EMOPET / Brand / Document Control,"Publication rendering using Fraunces / Instrument Sans / JetBrains Mono, or explicit Founder acceptance of the recorded PDF fallbacks, plus complete page-by-page QA.","If a controlled-font partner publication is required, derive a new controlled revision from exact r1.6 content and generate a fresh manifest, SHA256SUMS, ZIP hash and visual-QA record.",BRAND-AUTHORITY-001; WORK-DELTA-MOKO-001 §3; MOKO-RECON-016,YES,Founder — EMOPET,The byte-frozen r1.6 archive must not be silently replaced. Fallback environment does not amend brand authority.
OPEN-LEGAL-B1-001,,OPEN-LEGAL,Batch 1 EU regulatory applicability and legal interpretation,OPEN — OFFICIAL DATES VERIFIED / EMOPET APPLICABILITY NOT CLOSED,HIGH,Regulatory / Legal — HUMAN OWNER TO ASSIGN,"Controlled legal/applicability memoranda covering CRA reporting, RED/CRA transition, Data Act, Batteries Regulation Article 11, AI Act Article 50 and GDPR/CNIL connected-object privacy as applied to the actual EMOPET product, roles, market date and data flows.",Assign qualified legal/regulatory owner; confirm product/actor classifications and market-date assumptions; retain REG-001 as NOT LEGAL ADVICE until controlled applicability review is approved.,REG-001; DATA-002; SEC-001; official EU sources in BATCH1_REGULATORY_SOURCE_REGISTER.csv,YES,Qualified legal/regulatory review + explicit controlled approval,"GDPR Article 4(1) and CNIL mobile-app guidance were added as primary regulatory/design sources. Their presence does not establish EMOPET applicability, lawful basis, role allocation or implementation compliance; human legal review remains required."
OPEN-SCI-B1-001,,OPEN-SCI,Batch 1 Observation doctrine scientific validation,OPEN — PRODUCT DOCTRINE EVIDENCE ENRICHED / EMOPET SCIENTIFIC VALIDATION NOT ESTABLISHED,HIGH — BEFORE SCIENTIFIC OR VALIDATION CLAIMS,Product / Science — HUMAN OWNER TO ASSIGN,Approved EMOPET validation plan; EMOPET-specific controlled validation; predefined metrics and acceptance criteria; external scientific review where required.,Route to Batch 3 scientific reconciliation after an OBS controlled-master decision; preserve abstention and limitations; do not call the doctrine validated.,BRAND-AUTHORITY-001 is visual only; Batch 1 evidence register v1.1; future controlled OBS authority,YES,Founder / Product / Science with recorded validation evidence and external review as required,"Peer-reviewed and primary evidence supports context, individualisation, prudent interpretation and device-specific validation limits. It does not validate EMOPET observations, algorithms or outcomes."
OPEN-DOC-007,,OPEN-DOC,Batch 2 current-engineering source consolidation,OPEN — AUTHORITY MAPPED / CONFLICTING SOURCE WORDING NOT REISSUED,HIGH,Hardware Engineering / Product / Document Control,"A new controlled revision reconciling ADS1261/ADS1220, ADA4530-1/OPA2140, VBIAS, TAG positioning and battery wording, with technical review and explicit approval.",Derive a new revision from the mapped current authorities; do not overwrite historical or source documents and do not mass-restyle while OPEN-DOC-005 is open.,BATCH2_ENGINEERING_AUTHORITY_AND_EVIDENCE_REPORT_2026-08-27; SUPR-018 through SUPR-021,YES,Engineering owner + Product authority + Document Control approval,Document reconciliation is complete for this checkpoint; the reissued controlled engineering set is not yet created.
OPEN-VAL-B2-001,,OPEN-VALIDATION,Batch 2 physical-validation evidence closure,OPEN — PLANS/SOURCE EVIDENCE PRESENT / PHYSICAL TESTS NOT RUN OR NOT APPROVED,CRITICAL,Hardware / RF / Mechanical / Validation,"Controlled raw data, run manifests, exact component/source identities and approved reports for MAT bench/AFE/cable/load-cell plus TAG autonomy, IP67, mass, RF, thermal and wear targets.","Execute the controlled validation plans and retain failed, partial and inconclusive results; do not infer performance from plans or model outputs.",ENG-001; ENG-003; ENG-MAT-004; RevA2R1 validation targets; Batch 2 claim register,YES,Named technical reviewer(s) + explicit controlled approval,Static ECAD and synthetic/software checks remain valid only within their measured scope.
OPEN-SCI-B3-001,,OPEN-SCI,SCI-100 source authority and scientific claim validation,OPEN — SCI-100 DRAFT / CITED AUTHORITIES AND EMPIRICAL VALIDATION NOT RECONCILED,CRITICAL — BEFORE ANY SCIENTIFIC OR PUBLIC PERFORMANCE CLAIM,Product / Science — HUMAN OWNER TO ASSIGN,"Exact controlled EMOPET-SCI-ELI-001 and SCI-BIB-001; claim-to-source mapping; corrected semantics; external scientific review; EMOPET-specific validation plan, predefined metrics and controlled results.","Obtain and freeze the cited authorities, reconcile each scientific claim, correct implementation overstatements and issue a new controlled revision; preserve SCI-100 unchanged.",SCI-100; Batch 3 claim register; OPEN-SCI-B1-001,YES,Founder / Product / qualified Science reviewer with controlled evidence,Three similarly named Drive documents are candidates only; exact cited identifiers and binary authority are not established.
OPEN-DOC-008,,OPEN-DOC,Local source snapshot byte divergence from immutable global ZIP,CLOSED FOR OPERATIONAL SOURCE CUSTODY — NEW ISOLATED MATERIALIZATION 430/430 / LEGACY SNAPSHOT PRESERVED,CRITICAL — BEFORE ANY SNAPSHOT-BASED RELEASE OR SOURCE RECONCILIATION,Document Control / Release Engineering,Satisfied 2026-08-29: immutable ZIP hash and compressed-data test passed; new isolated materialization passed 430/430 byte comparison; legacy mismatch retained.,Use the exact controlled materialization for source-dependent work. Keep the legacy snapshot non-canonical and preserved for audit.,Immutable ZIP SHA-256 f464f15959e2010e77302289d8622129673af613d3350bb863b85173b270b376; SOURCE_SNAPSHOT_CUSTODY_AUDIT_2026-08-27,NO,Document Control + independent 430/430 byte comparison + root-cause disposition,Operational custody recovered. The mechanism of the legacy BRD-PUB-001 truncation/mutation is not evidenced and is not inferred. OPEN-DOC-002 remains independent and open for next-release regeneration controls.
OPEN-VAL-B4-001,,OPEN-VALIDATION,"Batch 4 software, cloud, data and cyber execution evidence","OPEN — CONTROLLED TARGETS / STATIC ARTIFACTS PRESENT / BUILD, CI, MIGRATION, DEPLOYMENT AND SECURITY TEST EVIDENCE NOT ESTABLISHED","CRITICAL — BEFORE IMPLEMENTATION, DEPLOYMENT OR SECURITY-VALIDATION CLAIMS",Software / Cloud / Data / Security — HUMAN OWNER TO ASSIGN,"Exact frozen git commit or repository archive; reproducible dependency install, build and test logs; CI run evidence; Terraform/OpenTofu init/validate/plan with provider lock and approved state; migration apply/rollback evidence; authz/RLS, threat-model and security-test evidence; environment/deployment record; named approvals.","Execute the controlled evidence plan against the exact repository and target environment; retain failed, partial and inconclusive results and do not infer execution from static sources.",SW-001; SW-002; SW-003; SW-CLOUD-001 through 006; DATA-001; SEC-001 through 004; Batch 4 claim register,YES,Named Software / Cloud / Data / Security reviewers with controlled execution evidence,"This transversal gate avoids duplicating one gate per artifact. It does not replace Product, legal, privacy, publication, MOKO, manufacturing or physical-validation gates."
OPEN-FIN-B5-001,,OPEN-FINANCE,"Batch 5 funding eligibility, application and commitment timing","OPEN — OFFICIAL PROGRAMME RULES PARTIALLY VERIFIED / EMOPET ELIGIBILITY, COMMITTEE DATE, QUOTES, SUBMISSION AND AWARD NOT ESTABLISHED","CRITICAL — BEFORE COMMITMENT, APPLICATION, FUNDING OR CASH CLAIMS",Founder — EMOPET / Finance,Dated AudéLor written confirmation; exact current programme terms; eligible-expense and off-EU supplier treatment; committee date; controlled quotes; submission receipt; decision/award; cumulation and commitment-timing analysis.,Obtain written AudéLor confirmation and dated quotes before incorporation/commitment sequencing or submission; preserve failed and negative outcomes.,FIN-004; FIN-005; FIN-007 draft; official Région Bretagne/Bpifrance sources; Batch 5 claim register,YES,Founder — EMOPET + AudéLor/program authority + Finance/Accounting review,"General programme availability and arithmetic do not create EMOPET eligibility, funding, cash, spend authority or award."
OPEN-LEGAL-B5-001,,OPEN-LEGAL,"Corporate governance, IP chain of title and investment legal readiness",OPEN — INTERNAL GUARDRAILS MAPPED / COUNSEL-APPROVED INSTRUMENTS AND CHAIN-OF-TITLE COMPLETION NOT ESTABLISHED,"CRITICAL — BEFORE INCORPORATION, EQUITY, INVESTMENT OR LEGAL-READINESS CLAIMS",Founder — EMOPET / Legal Counsel,Counsel-approved articles/shareholders agreement and governance instruments; executed IP/contributor assignments; current cap table and corporate records; tax/accounting review; transaction-specific approvals.,"Commission counsel review, retain all unresolved points, and attach executed evidence before closing LEG-006 or signing equity/investment documents.",LEG-001 through LEG-006; Legifrance general context; Batch 5 legal lineage register,YES,Founder — EMOPET + named qualified legal counsel + Finance/Accounting as applicable,The fully counter-signed NNN is contract-lineage evidence only; enforceability and wider legal readiness are not assessed.
OPEN-DOC-009,,OPEN-DOC,Batch 5 controlled reissue for FIN-007 and cross-domain notes,OPEN — AUTHORITY MAPPED / FIN-007 AND CROSS-DOMAIN NOTES REQUIRE CONTROLLED CORRECTION BEFORE USE,"HIGH — BEFORE APPLICATION, PARTNER OR PUBLICATION USE",Document Control / Founder — EMOPET,"New controlled revision removing unsupported transmission, submission, quote-request and committee-date assertions; corrected legal lineage; cited programme terms; content QA and founder approval.",Do not overwrite sources. Create a new revision only after quotes and AudéLor confirmation; keep mass restyling blocked while OPEN-DOC-005 is open.,FIN-007; ZIP-0364; ZIP-0366; SUPR-027; SUPR-028; Batch 5 claim register,YES,Founder — EMOPET + Document Control after content QA,"This gate is documentary only and does not close funding, legal, transmission, Product, science, manufacturing or publication gates."
OPEN-DOC-010,,OPEN-DOC,Batch 3 science checkpoint local archive and sidecar divergence,CLOSED FOR LOCAL CUSTODY RECOVERY — EXACT CONTROLLED ZIP RESTORED / NOT RELEASED,CRITICAL — BEFORE RELYING ON THE LOCAL BATCH 3 ZIP,Document Control / Release Engineering,Satisfied 2026-08-29: recovered archive SHA-256 a457008037a5b14e47ae3c248728c375b3c4e5c4bf40bdf2b3e685c70f293aac matches the controlled sidecar and ZIP test passes.,Use the restored exact archive. Retain the two corrupt local artifacts in quarantine; do not promote the checkpoint to RELEASED.,Batch 3 sidecar and verification report; global checkpoint preflight 2026-08-28,NO,Document Control + independent archive/hash verification,"The 35,151,360-byte corrupt archive (SHA-256 17ca68e17eb64d97e98d1735e3dd78740874e64807939226307aac9c042aebed) and 4,194,304-byte partial file remain preserved under 10_RELEASE_CONTROL/QUARANTINE/BATCH3_CUSTODY_2026-08-29."
